k,mean_accuracy,sd,se
1,0.3533761477354792,0.022408242458192357,0.005785783323890463
2,0.5431300938821831,0.01424531083967177,0.0036781234429064504
3,0.6948694934488805,0.02004371883276207,0.00517526594902343
4,0.7937367172186115,0.019523921801658618,0.005041054932698649
5,0.8109893737748891,0.023935419832545823,0.006180098826395513
6,0.8085747446610956,0.022977669367000464,0.005932808719536874
7,0.8499422263489116,0.018520936555665606,0.00478208525575047
8,0.87053698545342,0.017842173995318084,0.004606829516266799
9,0.8753605694831322,0.01837285300117913,0.004743850246392249
10,0.8794387702465696,0.01648103561690328,0.004255385098167846
11,0.8892726709996904,0.018167565568947375,0.004690845259310964
12,0.8946471680594245,0.014197643683295926,0.003665815836052803
13,0.9068858970391005,0.011192742242073936,0.002889953620129641
14,0.9259945321365936,0.012604772302582591,0.0032545382140425926
15,0.9334117404312391,0.010559099620551082,0.0027263477987559594
16,0.9380506551119366,0.011697837273790618,0.0030203685965356957
17,0.9408330754152482,0.009334629405737595,0.0024101909487626496
18,0.942132466728567,0.008692659479227037,0.002244435026486557
19,0.9434272155163519,0.007887812633135106,0.0020366244644091157
20,0.9460259981429897,0.009356197297987631,0.002415759754595795
21,0.9462111833281751,0.008989520225421916,0.0023210841415635883
22,0.9478809450118642,0.008975757508084997,0.0023175306232272918
23,0.9475105746414939,0.009417695709661462,0.002431638576211192
24,0.9484385639121017,0.009060280592990464,0.0023393543899078886
25,0.951404621892087,0.008697875425318025,0.002245781777976231
26,0.9547425977509542,0.011026988452251377,0.002847156175626072
27,0.9540013411740432,0.010685288482711023,0.002758929622864114
28,0.9553012483235325,0.011792897832231015,0.003044913127183751
29,0.9560414732281027,0.010016184135491659,0.002586167623287075
30,0.9584530073248737,0.009293494905380164,0.0023995700664400568
31,0.9606798720726298,0.009251479201054695,0.0023887216582312754
32,0.9616063138347263,0.008468765197445379,0.0021866257715097946
33,0.962165996079645,0.009059527007600975,0.0023391598149969926
34,0.9619823584029713,0.010612658186529036,0.0027401765610279172
35,0.9619802950582894,0.009169380006289423,0.0023675237372937463
36,0.9621649644073041,0.008362643805938007,0.002159225346044167
37,0.9632765913545858,0.007641103173487567,0.0019729243558379993
38,0.963275559682245,0.007350604614038715,0.001897917950315156
39,0.9640173320953266,0.007066376620926067,0.0018245305980584064
40,0.9656855462705045,0.007008950204941018,0.0018097031612089082
41,0.9666114721964303,0.006472435925752326,0.0016711757699888895
42,0.9675410089755493,0.007086697756776291,0.0018297774927733357
43,0.967170638605179,0.007789911466449393,0.002011346491865913
44,0.9677272258330752,0.008948773198684493,0.0023105633044994875
45,0.9703223976065203,0.007832455994469002,0.002022331441765393
46,0.9706922521407201,0.006464093457313099,0.0016690217539001302
47,0.9695801093572682,0.007819830306639604,0.0020190715031855482
48,0.9695795935210978,0.005084483876843186,0.001312808091938252
49,0.9699525430723204,0.007052266100700107,0.0018208872774023088
50,0.9690245538017126,0.007106953126160082,0.001835007406659649
51,0.9697658103786237,0.006874264194644706,0.0017749273828859258
52,0.9701366965851645,0.007462125209709143,0.0019267124443012025
53,0.9708795006705871,0.0072652080514879445,0.001875868652676323
54,0.9708789848344167,0.006796743504770918,0.0017549116268280797
55,0.970138244093676,0.007077825656825897,0.001827486726416418
56,0.969394924172083,0.00688703309272686,0.0017782242981940325
57,0.9692097389868978,0.006760850002305531,0.0017456439643423799
58,0.9692102548230681,0.00752881377614681,0.0019439313581142378
59,0.9699520272361498,0.007656438581417559,0.001976883941139343
60,0.9695816568657794,0.007815465974925872,0.0020179446375825742
61,0.9701382440936758,0.00745454110698341,0.00192475423739769
62,0.9701382440936758,0.00745454110698341,0.00192475423739769
63,0.9701382440936758,0.00745454110698341,0.00192475423739769
64,0.9701382440936758,0.00745454110698341,0.00192475423739769
